ďťżDate, Open, High, Low, Close, Volume
3-Dec-13,413.88,416.17,413.05,413.97,26141212
2-Dec-13,416.53,417.54,413.97,414.33,20349286
29-Nov-13,418.09,421.85,415.80,415.80,19658853
28-Nov-13,419.01,422.40,418.28,419.01,9820144
27-Nov-13,418.73,423.13,418.73,419.74,17996367
26-Nov-13,420.29,422.22,418.09,419.65,37949969
25-Nov-13,422.40,424.42,420.02,421.21,15405526
22-Nov-13,422.95,423.78,418.64,419.92,17947371
21-Nov-13,413.14,421.76,413.05,421.58,25122277
20-Nov-13,419.28,420.20,414.98,416.53,29176784
19-Nov-13,426.80,427.17,424.23,425.42,21599573
18-Nov-13,423.96,429.64,422.58,429.64,27856553
15-Nov-13,424.97,429.46,421.94,424.14,28581844
14-Nov-13,424.97,425.24,421.76,423.50,25416262
13-Nov-13,421.30,423.04,418.00,420.57,34659167
12-Nov-13,411.77,426.34,409.66,423.96,47059321
11-Nov-13,417.36,418.92,414.42,416.81,22897931
8-Nov-13,412.78,420.84,411.12,419.38,34052600
7-Nov-13,421.67,425.42,417.27,417.63,30308853
6-Nov-13,420.75,423.59,420.20,422.77,23899790
5-Nov-13,421.67,421.76,416.81,418.46,23003677
4-Nov-13,425.42,428.45,420.48,418.63,21837907
1-Nov-13,421.67,426.25,418.92,423.08,49674033
31-Oct-13,414.24,415.89,407.73,411.58,53067328
30-Oct-13,413.97,416.53,412.96,414.52,21974624
29-Oct-13,413.40,414.90,412.10,414.90,34758458
28-Oct-13,416.44,416.44,412.50,413.42,29478382
25-Oct-13,417.18,418.46,414.24,415.71,21921080
24-Oct-13,421.48,421.67,417.18,419.65,20775076
23-Oct-13,417.27,420.48,-,420.02,25171502
22-Oct-13,417.82,420.29,415.43,417.91,22723103
21-Oct-13,418.00,420.57,414.42,417.82,19841727
18-Oct-13,420.75,421.48,416.81,417.45,45652897
17-Oct-13,412.50,420.40,411.80,420.40,60827755
16-Oct-13,405.62,412.50,405.08,412.50,45028759
15-Oct-13,407.82,407.82,403.70,407.00,35628198
14-Oct-13,404.25,407.92,403.70,406.18,24712313
11-Oct-13,400.86,404.16,400.03,402.97,32995013
10-Oct-13,396.20,399.50,394.40,398.60,39830809
9-Oct-13,397.28,398.75,392.42,394.17,50429913
8-Oct-13,399.85,402.69,396.55,400.49,35340757
